id,name,parent
2,上海,0
25,云南,0
7,内蒙古,0
1,北京,0
34,台湾,0
9,吉林,0
23,四川,0
3,天津,0
29,宁夏,0
13,安徽,0
16,山东,0
6,山西,0
20,广东,0
21,广西,0
31,新疆,0
11,江苏,0
15,江西,0
5,河北,0
17,河南,0
12,浙江,0
22,海南,0
18,湖北,0
19,湖南,0
33,澳门,0
28,甘肃,0
14,福建,0
26,西藏,0
24,贵州,0
8,辽宁,0
4,重庆,0
27,陕西,0
30,青海,0
32,香港,0
10,黑龙江,0
35,北京,1
108,七台河,10
106,伊春,10
102,佳木斯,10
111,双鸭山,10
99,哈尔滨,10
105,大兴安岭,10
107,大庆,10
101,牡丹江,10
103,绥化,10
109,鸡西,10
110,鹤岗,10
104,黑河,10
100,齐齐哈尔,10
112,南京,11
115,南通,11
124,宿迁,11
121,常州,11
118,徐州,11
116,扬州,11
122,无锡,11
123,泰州,11
119,淮安,11
117,盐城,11
114,苏州,11
120,连云港,11
113,镇江,11
132,丽水,12
130,台州,12
127,嘉兴,12
128,宁波,12
125,杭州,12
131,温州,12
126,湖州,12
129,绍兴,12
135,舟山,12
134,衢州,12
133,金华,12
144,亳州,13
150,六安,13
136,合肥,13
141,安庆,13
149,宣城,13
142,宿州,13
151,巢湖,13
152,池州,13
147,淮北,13
139,淮南,13
146,滁州,13
138,芜湖,13
137,蚌埠,13
148,铜陵,13
143,阜阳,13
140,马鞍山,13
145,黄山,13
160,三明,14
161,南平,14
154,厦门,14
155,宁德,14
157,泉州,14
158,漳州,14
153,福州,14
156,莆田,14
159,龙岩,14
164,上饶,15
163,九江,15
162,南昌,15
167,吉安,15
166,宜春,15
165,抚州,15
171,新余,15
169,景德镇,15
170,萍乡,15
168,赣州,15
172,鹰潭,15
184,东营,16
181,临沂,16
185,威海,16
176,德州,16
187,日照,16
186,枣庄,16
180,泰安,16
173,济南,16
179,济宁,16
175,淄博,16
183,滨州,16
178,潍坊,16
177,烟台,16
189,聊城,16
188,莱芜,16
182,菏泽,16
174,青岛,16
206,三门峡,17
195,信阳,17
196,南阳,17
203,周口,17
199,商丘,17
191,安阳,17
194,平顶山,17
197,开封,17
192,新乡,17
198,洛阳,17
384,济源,17
204,漯河,17
202,濮阳,17
200,焦作,17
193,许昌,17
190,郑州,17
205,驻马店,17
201,鹤壁,17
219,仙桃,18
216,十堰,18
212,咸宁,18
221,天门,18
209,孝感,18
214,宜昌,18
215,恩施,18
207,武汉,18
220,潜江,18
263,神农架,18
213,荆州,18
218,荆门,18
385,襄阳,18
208,鄂州,18
217,随州,18
210,黄冈,18
211,黄石,18
229,娄底,19
231,岳阳,19
227,常德,19
233,张家界,19
234,怀化,19
224,株洲,19
235,永州,19
223,湘潭,19
232,湘西,19
228,益阳,19
225,衡阳,19
230,邵阳,19
226,郴州,19
222,长沙,19
36,上海,2
251,东莞,20
252,中山,20
249,云浮,20
243,佛山,20
236,广州,20
238,惠州,20
255,揭阳,20
239,梅州,20
240,汕头,20
253,汕尾,20
246,江门,20
247,河源,20
241,深圳,20
248,清远,20
245,湛江,20
250,潮州,20
242,珠海,20
244,肇庆,20
256,茂名,20
254,阳江,20
237,韶关,20
270,北海,21
257,南宁,21
258,崇左,21
260,来宾,21
259,柳州,21
261,桂林,21
262,梧州,21
269,河池,21
265,玉林,21
267,百色,21
266,贵港,21
264,贺州,21
268,钦州,21
271,防城港,21
273,三亚,22
383,五指山,22
272,海口,22
387,琼海,22
287,乐山,23
285,内江,23
289,凉山,23
278,南充,23
284,宜宾,23
282,巴中,23
294,广元,23
281,广安,23
293,德阳,23
274,成都,23
275,攀枝花,23
283,泸州,23
291,甘孜,23
288,眉山,23
277,绵阳,23
276,自贡,23
286,资阳,23
279,达州,23
280,遂宁,23
292,阿坝,23
290,雅安,23
302,六盘水,24
297,安顺,24
301,毕节,24
295,贵阳,24
296,遵义,24
300,铜仁,24
299,黔东南,24
298,黔南,24
303,黔西南,24
316,临沧,25
319,丽江,25
308,保山,25
305,大理,25
315,德宏,25
317,怒江,25
309,文山,25
304,昆明,25
313,昭通,25
312,普洱,25
307,曲靖,25
311,楚雄,25
310,玉溪,25
306,红河,25
314,西双版纳,25
318,迪庆,25
322,山南,26
320,拉萨,26
321,日喀则,26
324,昌都,26
323,林芝,26
325,那曲,26
326,阿里,26
328,咸阳,27
332,商洛,27
333,安康,27
335,宝鸡,27
329,延安,27
330,榆林,27
334,汉中,27
331,渭南,27
327,西安,27
336,铜川,27
348,临夏,28
337,兰州,28
344,嘉峪关,28
346,天水,28
338,定西,28
339,平凉,28
340,庆阳,28
343,张掖,28
342,武威,28
349,甘南,28
350,白银,28
345,酒泉,28
341,金昌,28
347,陇南,28
355,中卫,29
353,吴忠,29
354,固原,29
352,石嘴山,29
351,银川,29
37,天津,3
360,果洛,30
357,海东,30
363,海北,30
359,海南,30
362,海西,30
361,玉树,30
356,西宁,30
358,黄南,30
364,乌鲁木齐,31
367,五家渠,31
374,伊犁,31
380,克孜勒苏,31
375,克拉玛依,31
381,博尔塔拉,31
368,吐鲁番,31
378,和田,31
377,哈密,31
372,喀什,31
373,图木舒克,31
376,塔城,31
369,巴音郭楞,31
382,库尔勒,31
366,昌吉,31
365,石河子,31
370,阿克苏,31
379,阿勒泰,31
371,阿拉尔,31
39,香港,32
40,澳门,33
41,台湾,34
38,重庆,4
43,保定,5
46,唐山,5
47,廊坊,5
44,张家口,5
45,承德,5
48,沧州,5
42,石家庄,5
52,秦皇岛,5
49,衡水,5
50,邢台,5
51,邯郸,5
59,临汾,6
60,吕梁,6
54,大同,6
53,太原,6
62,忻州,6
56,晋中,6
58,晋城,6
63,朔州,6
61,运城,6
57,长治,6
55,阳泉,6
67,乌兰察布,7
66,乌海,7
74,兴安,7
65,包头,7
73,呼伦贝尔,7
64,呼和浩特,7
71,巴彦淖尔,7
69,赤峰,7
68,通辽,7
70,鄂尔多斯,7
72,锡林郭勒,7
75,阿拉善,7
81,丹东,8
77,大连,8
79,抚顺,8
87,朝阳,8
80,本溪,8
76,沈阳,8
88,盘锦,8
83,营口,8
89,葫芦岛,8
85,辽阳,8
86,铁岭,8
82,锦州,8
84,阜新,8
78,鞍山,8
91,吉林,9
93,四平,9
92,延边,9
97,松原,9
95,白城,9
98,白山,9
96,辽源,9
94,通化,9
90,长春,9
